catalognumber,imageID,dsize,lndsize,ecoregion,population,pairs,type,agescore,sex,stateprovince,county,year,PCNM1,lat,lon,scientificname,seas,temp
MSB_144084,MSB_144084_dor,3.330449777,1.203107363,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,2005,0.016290935,62.3985,-136.5553,Microtus pennsylvanicus,142.46,-32.1
MSB_144179,MSB_144179_dor,3.509704082,1.255531727,Pacific,MainlandP,MainlandP,Mainland,12,male,Yukon Territory,,2005,-0.051118719,64.0842,-139.4417,Microtus pennsylvanicus,157.73,-33.9
MSB_144426,MSB_144426_dor,3.403664953,1.224852778,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,2005,0.013710218,63.5431,-137.1948,Microtus pennsylvanicus,137.76,-30.6
MSB_144479,MSB_144479_dor,3.384154135,1.219103989,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,2005,0.015768957,63.8413,-135.4614,Microtus pennsylvanicus,136.64,-32.3
MSB_145310,MSB_145310_dor,3.583309587,1.276286839,Pacific,MainlandP,MainlandP,Mainland,11,male,Yukon Territory,,2005,0.013710218,63.5431,-137.1948,Microtus pennsylvanicus,137.76,-30.6
MSB_164894,MSB_164894_dor,3.422771036,1.230450467,Pacific,MainlandP,MainlandP,Mainland,11,female,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164895,MSB_164895_dor,3.51561239,1.257213732,Pacific,MainlandP,MainlandP,Mainland,12,female,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164896,MSB_164896_dor,3.622431771,1.28714556,Pacific,MainlandP,MainlandP,Mainland,12,male,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164899,MSB_164899_dor,3.459811277,1.241214043,Pacific,MainlandP,MainlandP,Mainland,12,male,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164900,MSB_164900_dor,3.415642922,1.228365739,Pacific,MainlandP,MainlandP,Mainland,12,female,Alaska,,1979,-0.099911226,63.956,-145.7634,Microtus pennsylvanicus tananaensis,129.7,-25
MSB_164904,MSB_164904_dor,3.679729866,1.302839344,Pacific,MainlandP,MainlandP,Mainland,12,female,Alaska,,1980,-0.100037412,63.9597502,-145.6099083,Microtus pennsylvanicus tananaensis,132.08,-26.2
MSB_164908,MSB_164908_dor,3.305985119,1.195734498,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1980,-0.100039817,63.8994557,-145.6967763,Microtus pennsylvanicus tananaensis,130.34,-25.6
MSB_164909,MSB_164909_dor,3.280394689,1.187963747,Pacific,MainlandP,MainlandP,Mainland,7,female,Alaska,,1980,-0.100039817,63.8994557,-145.6967763,Microtus pennsylvanicus tananaensis,130.34,-25.6
MSB_164921,MSB_164921_dor,3.41268898,1.227500538,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1980,-0.100169606,63.6499101,-145.8372043,Microtus pennsylvanicus tananaensis,129.66,-26.7
MSB_164922,MSB_164922_dor,3.521206314,1.258803634,Pacific,MainlandP,MainlandP,Mainland,11,female,Alaska,,1980,-0.100169606,63.6499101,-145.8372043,Microtus pennsylvanicus tananaensis,129.66,-26.7
MSB_193343,MSB_193343_dor,3.501943871,1.253318206,Pacific,MainlandP,MainlandP,Mainland,12,female,Alaska,,2008,-0.094831504,61.3546,-145.29275,Microtus pennsylvanicus,103.11,-22
MSB_193480,MSB_193480_dor,3.452914123,1.239218548,Pacific,MainlandP,MainlandP,Mainland,12,male,Alaska,,2008,0.021806696,59.30032,-135.70419,Microtus pennsylvanicus,74.88,-14
MSB_195107,MSB_195107_dor,3.523974128,1.259589366,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,2009,0.021821321,59.2665,-135.5996,Microtus pennsylvanicus,72.62,-11.8
MSB_195119,MSB_195119_dor,3.244781621,1.177048051,Pacific,MainlandP,MainlandP,Mainland,9,male,Alaska,,2009,-0.094816863,61.34823,-145.30446,Microtus pennsylvanicus,103.11,-22
MSB_269529,MSB_269529_dor,3.407310149,1.225923167,Pacific,MainlandP,MainlandP,Mainland,11,male,Alaska,,1951,0.137173408,61.8795,-151.2665,Microtus pennsylvanicus drummondii,104.91,-20.3
MSB_269534,MSB_269534_dor,3.246328656,1.177524714,Pacific,MainlandP,MainlandP,Mainland,12,female,Alaska,,1955,0.138054253,61.1487965,-149.9660148,Microtus pennsylvanicus,88.15,-13.7
MSB_269615,MSB_269615_dor,3.40248903,1.224507231,Pacific,MainlandP,MainlandP,Mainland,10,female,Alaska,,1951,0.137173408,61.8795,-151.2665,Microtus pennsylvanicus,104.91,-20.3
MSB_269617,MSB_269617_dor,3.555361207,1.268456663,Pacific,MainlandP,MainlandP,Mainland,11,female,Alaska,,1951,0.137173408,61.8795,-151.2665,Microtus pennsylvanicus,104.91,-20.3
UAM_36585,UAM_36585_dor,3.499358952,1.252579795,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,1995,-0.039597428,60.83833333,-137.3291667,Microtus pennsylvanicus,117.41,-27
